county,category,taxonomic_group,taxonomic_subgroup,common_name,state_conservation_rank,global_conservation_rank,human_pop_county,human_growth_rate,land_area,water_area,pop_per_mi
Albany,Plant,Flowering Plants,Sedges,Schweinitz's Flat Sedge,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Kidney-leaved Mud Plantain,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Great St. John's Wort,S3,G4T4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Violet Bush Clover,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Mudwort,S3,G4G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Nuttall's Lobelia,S3,G4G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Wild Lupine,S3,G5T4?,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Heart-leaved Plantain,S3,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Slender Knotweed,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Strap-leaf Arrowhead,S3,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Pod Grass,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Upland Goldenrod,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,False Pennyroyal,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Neckweed,S3,G5T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Bird's-foot Violet,S3,G5TNR,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Fish,Sturgeons and Paddlefish,Atlantic Sturgeon,S1,G3,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Chaffseed,SX,G2G3,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Amphibians,Salamanders,Tiger Salamander,S1S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Peregrine Falcon,S3B,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Persius Duskywing,S1,G5T1T3,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Karner Blue,S1,G5T2,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Conifers,Conifers,Shortleaf Pine,S1,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Fish,Sturgeons and Paddlefish,Shortnose Sturgeon,S1,G3,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Northern Wild Comfrey,S1S2,G5T4T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Orchids,Puttyroot,S1,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Downy Wood Mint,S1,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Grasses,Side-oats Grama,S2,G5T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Ambiguous Sedge,S3,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Frank's Sedge,S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Cloud Sedge,S1S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Orchids,Small Southern Yellow Lady's Slipper,SH,G5T3T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Smooth Tick Trefoil,SH,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Nuttall's Tick Trefoil,SH,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Stiff Tick Trefoil,S1,G4G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Grasses,Slender Crab Grass,S1,G5TNR,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,American Waterwort,S1,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Ovate Spike Rush,S1S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Northern Stickseed,S1,G5T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Downy Lettuce,S1,G5?,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Orchids,Large Twayblade,S1,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Virginia False Gromwell,S1,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Stalked Bugleweed,S1,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Orchids,Bayard's Adder's Mouth,S1,G1G2,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Hudson River Water Nymph,S2,G5T1,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Cut-leaved Evening Primrose,S1,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Carey's Smartweed,S1S2,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Sweet Coltsfoot,S1,G5T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Virginia Ground Cherry,SH,G5T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Orchids,Orange Fringed Orchid,S1,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Orchids,Hooker's Orchid,S1,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Grasses,Slender Marsh Blue Grass,S1,G3,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Grasses,Forest Blue Grass,S1,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Small's Knotweed,S1S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Pinedrops,S1,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Whorled Mountain Mint,S1S2,G5T5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Georgia Bulrush,S1S2,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Sedges,Whip Nut Sedge,S1,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Marsh Valerian,S1S2,G4Q,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Southern Wood Violet,SH,G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Plant,Flowering Plants,Other Flowering Plants,Northern Bog Violet,S1,G5,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Mammals,Bats,Indiana Bat,S1,G2,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Mammals,Rodents,Allegheny Woodrat,S1,G3G4,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Albany,Animal,Reptiles,Turtles,Bog Turtle,S2,G3,303348,-0.2427,1354273421,26971925,2.196192015259829e-4
Allegany,Animal,Birds,Sparrows and Towhees,Henslow's Sparrow,S3B,G4,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Upland Sandpiper,S3B,G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Northern Harrier,"S3B,S3N",G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Bald Eagle,"S2S3B,S2N",G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Least Bittern,"S3B,S1N",G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Animal,Birds,Grebes,Pied-billed Grebe,"S3B,S1N",G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Ferns and Fern Allies,Ferns,Blunt-lobe Grape Fern,S2S3,G4,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Flowering Plants,Sedges,Schweinitz's Sedge,S2S3,G3G4,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Flowering Plants,Other Flowering Plants,Green Gentian,S2,G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Flowering Plants,Other Flowering Plants,Shrubby St. John's Wort,S2,G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Flowering Plants,Other Flowering Plants,Twinleaf,S2,G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Flowering Plants,Other Flowering Plants,Culver's Root,S2,G4,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Animal,Mammals,Bats,Northern Long-eared Bat,S1,G1G2,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Animal,Mussels and Clams,Freshwater Mussels,Green Floater,S1S2,G3,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Animal,Reptiles,Snakes,Timber Rattlesnake,S3,G4,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Flowering Plants,Sedges,Few-fruited Sedge,S3,G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Flowering Plants,Other Flowering Plants,Speckled Wood Lily,S3,G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Flowering Plants,Other Flowering Plants,Pale Vetchling,S3,G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Flowering Plants,Other Flowering Plants,Jacob's Ladder,S3,G3G4,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Flowering Plants,Other Flowering Plants,Pod Grass,S3,G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Animal,Birds,Owls,Short-eared Owl,S2,G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Peregrine Falcon,S3B,G4,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Animal,Fish,Darters and Sunfishes,Bluebreast Darter,S1,G4,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Flowering Plants,Other Flowering Plants,Blue-eyed-Mary,SH,G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Plant,Flowering Plants,Other Flowering Plants,Lowland Yellow Loosestrife,S1,G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Allegany,Animal,Reptiles,Snakes,Queen Snake,S1,G5,45609,-6.8653,2666225086,12989848,1.7023270295043823e-5
Bronx,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Northern Harrier,"S3B,S3N",G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Ferns and Fern Allies,Ferns,Blunt-lobe Grape Fern,S2S3,G4,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Seaside Gerardia,S2S3,G5T5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Yellow Giant-hyssop,S2S3,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Woodland Agrimony,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Purple Milkweed,S2S3,G5?,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Sedges,Seaside Bulrush,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Purple Cress,S2S3,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Sedges,Glaucous Sedge,S2,G5T5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Sedges,Marsh Straw Sedge,S2S3,G4G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Sedges,False Hop Sedge,S2,G4,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Sedges,Troublesome Sedge,S2S3,G4,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Sedges,Reflexed Sedge,S2S3,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Sedges,Schweinitz's Sedge,S2S3,G3G4,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Grasses,Dune Sandspur,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Sedges,Great Plains Flatsedge,S1S2,G5T5?,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Little-leaf Tick Trefoil,S2S3,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Persimmon,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Sedges,Salt-marsh Spike Rush,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Virginia Snakeroot,S2,G4,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Trinerved White Boneset,S2S3,G5T4,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Rough Avens,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Wild Hydrangea,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Goldenseal,S2,G3G4,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Shrubby St. John's Wort,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Slender Blue Flag,S2,G4G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Slender Pinweed,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Eastern Grasswort,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Southern Yellow Flax,S2,G5T5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Yellow Wild Flax,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Violet Wood Sorrel,S2S3,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Red Pigweed,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Swamp Lousewort,S2S3,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Spotted Pondweed,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Dwarf Cherry,S2,G5T5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Blunt Mountain Mint,S2S3,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Dwarf Glasswort,S2S3,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Flax-leaf Whitetop,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Wild Pink,S2,G5T4T5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Annual Saltmarsh Aster,S2S3,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Marsh Arrow Grass,S2,G5,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Orchids,Nodding Pogonia,S2,G3G4T3T4,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Grasses,Northern Gama Grass,S2,G5TNR,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Culver's Root,S2,G4,1390450,0.2271,109224611,39362153,0.009357832168684958
Bronx,Plant,Flowering Plants,Other Flowering Plants,Southern Arrowwood,S2,G5T4T5,1390450,0.2271,109224611,39362153,0.009357832168684958
